省份,年份,招生代码,大学名称,专业代码,专业名称,科类,批次,最低分,平均分,最高分,最低位次,录取人数
福建,2018,5193,武汉大学,20,遥感科学与技术(含遥感科学与技术、地理国情监测、空间信息与数字技术，色弱、色盲及肢体残疾不宜报考),理科,本一批,644,648,652,1162,6
福建,2018,5193,武汉大学,21,轻工类(含印刷工程、包装工程),理科,本一批,638,641,644,1506,2
福建,2018,5193,武汉大学,22,建筑类(含建筑学、城乡规划),理科,本一批,640,641,644,1365,2
福建,2018,5193,武汉大学,23,建筑类(中外合作办学)(含:建筑学),理科,本一批,646,646,646,1044,1
福建,2018,5193,武汉大学,24,临床医学(5+3医),理科,本一批,638,640,642,1506,5
福建,2018,5193,武汉大学,25,临床医学(八年一贯制),理科,本一批,638,641,647,1506,4
福建,2018,5193,武汉大学,26,口腔医学(五年制),理科,本一批,644,645,646,1162,2
福建,2018,5193,武汉大学,27,药学类(含药学、生物制药),理科,本一批,638,638,638,1506,2
福建,2018,5193,武汉大学,28,工商管理类(含工商管理、市场营销、会计学、财务管理、人力资源管理、物流管理、工程管理),理科,本一批,642,646,650,1255,6
福建,2018,5193,武汉大学,01,社会科学试验班(含信息管理与信息系统、图书馆学、档案学、编辑出版学、电子商务(招考方向;信息管理类)),文科,本一批,643,643,643,211,2
福建,2018,5193,武汉大学,02,人文科学试验班(含汉语言文学、哲学、历史学，基础学科拔尖学生培养试验计划(招考方向;弘毅学堂)),文科,本一批,646,646,646,169,2
福建,2018,5193,武汉大学,03,哲学类(含哲学、宗教学),文科,本一批,642,642,642,234,2
福建,2018,5193,武汉大学,04,经济学类(含经济学、金融工程、国际经济与贸易、财政学、金融学、保险学),文科,本一批,646,646,646,169,2
福建,2018,5193,武汉大学,05,法学,文科,本一批,647,647,647,153,2
福建,2018,5193,武汉大学,06,政治学类(含政治学与行政学、外交学),文科,本一批,645,645,645,185,2
福建,2018,5193,武汉大学,07,社会学类(含社会学、社会工作),文科,本一批,645,646,646,185,2
福建,2018,5193,武汉大学,08,中国语言文学类(含汉语言文学，汉语国际教育),文科,本一批,642,644,645,234,2
福建,2018,5193,武汉大学,09,外国语言文学类(含英语、俄语、德语、法语、日语、翻译),文科,本一批,642,644,645,234,2
福建,2018,5193,武汉大学,10,新闻传播学类(含新闻学、广播电视学、广告学、传播学),文科,本一批,647,648,649,153,2
福建,2018,5193,武汉大学,11,历史学类(含历史学、世界史、考古学),文科,本一批,642,643,643,234,2
福建,2018,5193,武汉大学,12,心理学,文科,本一批,641,642,642,247,2
福建,2018,5193,武汉大学,13,工商管理类(含工商管理、市场营销、会计学、财务管理、人力资源管理、物流管理、工程管理),文科,本一批,645,646,647,185,2
福建,2018,5124,南京大学,03,社会科学试验班(含法学、社会学、社会工作、应用心理学、政治学与行政学、行政管理、劳动与社会保障、国际政治、图书馆学（含公共数字文化方向）、档案学（含经济与科技档案方向），编辑出版学（含数字化出版与新媒体方向）、信息管理与信息系统（含大数据管理应用方向））,理科,本一批,660,660,660,507,1
福建,2018,5124,南京大学,04,经济管理试验班（含经济学、金融学、金融工程、保险学、经济学（产业经济学方向）、工商管理、市场营销、会计学、财务管理、电子商务、工商管理（人力资源方向）、国际经济与贸易）,理科,本一批,661,662,662,484,4
